数据挖掘工程师,苏州,聚诚鹏,20-99人,13-19K,3-5年,本科,"['Java', 'Python', 'R', '计算机相关专业', '数学/统计相关专业', '金融行业数据相关经验']"
算法工程师（人工智能）,苏州,某仪器仪表公司,20-99人,15-30K,3-5年,硕士,"['业务导向', '语音/图像识别', 'Java', 'Python', 'TensorFlow/PyTorch', '机器学习算法/工程化经验', '深度学习经验', '工业领域']"
电商设计师/美工（熟练AI、PS软件）,苏州,布意坊网络,100-499人,5-6K,经验不限,大专,"['平面设计', '家居/家具设计', '不接受居家办公', '改图', '改尺寸', 'AI']"
AI软体开发资深工程师/主任(系统整合部),苏州,中达电子,10000人以上,14-20K·18薪,5-10年,硕士,"['Python', 'R', 'C/C++']"
海外市场营销经理,苏州,东声,100-499人,13-20K,3-5年,大专,"['海外网站账号运营/投放', '海外社交媒体营销推广经验', '海外广告投放经验', '市场营销/广告学相关专业', '营销策划能力', '小语种可作为工作语言']"
大模型算法工程师/机器学习,苏州,某计算机服务公司,0-20人,20-30K,经验不限,硕士,"['研究导向', 'Python']"
课程研发（创客类、科学实验类、人工智能类,苏州,苏州学力馆,20-99人,6-10K,1-3年,大专,"['创客', 'steam', '科学实验', '综合实践教育', '人工智能', '机器人']"
AI智能柜销售业务专员,苏州,丰e足食,1000-9999人,7-12K,1-3年,大专,"['企业（To B）', '对企业/机构（To B）销售经验', '招商/商户拓展']"
后段开发工程师,苏州,苏州欧朗德,100-499人,8-12K·13薪,1-3年,本科,"['后端开发', '计算机软件', '云计算', '人工智能', '大数据']"
CADD,苏州,某医疗设备公司,20-99人,35-55K,经验不限,本科,['CADD']
自然语言数据工程师,苏州,苏州工业园区易感...,0-20人,4-9K,在校/应届,本科,"['人工智能', '自然语言处理']"
计算机实习生,苏州,全欧智能,0-20人,3-4K,1年以内,大专,"['安防监控', '通信', '系统集成', '网络设备', '大数据', '人工智能']"
ai图像算法工程师,苏州,JUTZE,100-499人,10-15K·15薪,1-3年,本科,"['视觉图像算法', '深度学习算法']"
机器人调试工程师,苏州,华数机器人,1000-9999人,5-9K,1-3年,学历不限,"['机器人', '人工智能']"
steam教师,苏州,苏州环优文化咨询...,0-20人,8-13K,1-3年,本科,"['培训机构', '线下教育', '中学生', '大学/大专生', '学前儿童/小学生', '特长兴趣', '职业与技能培训', '有教育工作经验', '课程研发经验', '大型教育机构经验', '有销售经验', '乐器', '人工智能', '创意/设计', 'IT培训', '制造/建筑技术']"
机器视觉算法,苏州,某检测公司,20-99人,30-55K,3-5年,本科,"['机器学习算法/工程化经验', 'Halcon', 'VisionPro', '三维重建']"
售前支持经理,苏州,某数据服务公司,20-99人,20-30K·13薪,3-5年,本科,"['人工智能', '自动驾驶', '数据服务']"
